id,comment,territory
11,"O posto de saúde tá sempre lotado e faltam especialistas como pediatra e ginecologista. meu vizinho da frente, o Seu Jorge, tá tentando marcar uma consulta há mais de quatro meses e nada. durante o temporal de ontem disseram que o sistema do Sisreg caiu. É uma falta de respeito enorme com quem mora na comunidade.",favela
12,"A situação da saúde aqui tá precária demais. O posto da Gávea não dá conta de atender todo mundo da favela e do asfalto. uma vizinha nossa, a Dona Maria, foi lá com suspeita de dengue no meio da semana passada e mandaram voltar pra casa e tomar paracetamol sem nem fazer exame de sangue. Uma vergonha esse descaso.",comunidade
13,"A saúde aqui na região tá um caos absoluto. Fui levar meu marido voltando do trabalho no posto de saúde da Gávea ontem de noite e não tinha nenhum clínico de plantão. Uma fila imensa dobrava o quarteirão desde a madrugada e de manhã disseram que as senhas tinham acabado. É humilhante ver o trabalhador sofrendo assim. A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",asfalto
14,"Toda vez que cai uma chuva mais forte, as ruas da Gávea alagam por causa dos bueiros entupidos. na semana passada, a água da chuva acumulou tanto no cruzamento principal perto do posto de combustível, que cobriu as calçadas e quase invadiu os comércios. meu filho adolescente teve o carro danificado. A Comlurb precisa limpar essas bocas de lobo urgente.",asfalto
15,"Nossos jovens tão sem perspectiva porque as escolas públicas da comunidade tão abandonadas. Falta professor de matemática e inglês direto. na última terça-feira o filho de minha mãe idosa ficou sem aula e voltou pra casa cedo. Sem educação de qualidade, como que as crianças da favela vão vencer na vida?",comunidade
16,"A gente vive com medo de sair de casa à noite. Aqui perto de nos arredores da Praça Santos Dumont, no Baixo Gávea,, os assaltos são constantes e violentos. esses dias atrás teve correria perto do ponto de ônibus. É um trauma pro uma senhora de idade que mora aqui perto e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram? É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",asfalto
17,"O esgoto correndo a céu aberto aqui na comunidade é uma humilhação diária. anteontem o cano estourou bem na Travessa do Sol, área residencial, e tá aquela lama podre passando na porta de casa. um rapaz que estuda na PUC tá limpando tudo sozinho porque a prefeitura não manda ninguém da Cedae ou da Comlurb. Rato e barata tomando conta de tudo.",comunidade
18,"A coleta de lixo aqui dentro não funciona direito e o povo acaba jogando os sacos nas encostas ou perto de perto do valão de esgoto principal,. no último sábado de madrugada acumulou tanta sujeira que tampou a passagem do beco. um morador antigo aqui do beco se preocupa com as doenças, o valão tá transbordando e ninguém limpa essa imundície.",favela
19,"Um absurdo a truculência nas abordagens policiais aqui na comunidade. em plena luz do dia ontem, minha irmã com o carrinho de bebê foi parado voltando do serviço bem nas proximidades do posto de saúde da Gávea, e os policiais já chegaram esculachando, tratando como suspeito. A gente quer segurança, mas quer respeito também, porque trabalhador não é bandido. Até a escola da garotada fica prejudicada com essa buraqueira toda que impede o acesso.",comunidade
20,"O entorno do CIEP tá largado ao abandonono total. na subida da passarela de acesso,, o mato tá alto atraindo bicho e falta iluminação na passarela de acesso dos alunos. eu mesmo com pressa pro serviço morador antigo diz que de noite o lugar fica perigoso demais, propício pra assalto. Precisamos de melhorias e segurança pra comunidade escolar.",favela
21,"A saúde aqui na região tá um caos absoluto. Fui levar um grupo de estudantes daqui no posto de saúde da Gávea logo cedo na segunda-feira e não tinha nenhum clínico de plantão. Uma fila imensa dobrava o quarteirão desde a madrugada e de manhã disseram que as senhas tinham acabado. É humilhante ver o trabalhador sofrendo assim.",asfalto
22,"Muitas famílias aqui na comunidade vivem em condições habitacionais muito precárias, em barracos com muita umidade e infiltração perigosa. minha filha mais nova mora num cômodo pequeno onde chove mais dentro do que fora perto de na escadaria principal da comunidade,. Precisamos de programas sociais de melhoria habitacional. Nem o Parque da Cidade escapa desse abandono generalizado que tomou conta do nosso bairro.",comunidade
23,"Falta de professores nas escolas da rede pública daqui é um problema crônico. O filho de meu vizinho da frente, o Seu Jorge, tá há semanas sem ter aula de matérias básicas porque não tem professor contratado pra substituir perto de nos arredores da Praça Santos Dumont, no Baixo Gávea,. Um absurdo ver o ano letivo passando e os alunos prejudicados.",asfalto
24,"Morar aqui tá difícil por causa dos problemas crônicos de drenagem pluvial. em frente ao Shopping da Gávea,, a água fica empossada por dias após qualquer temporal comum. uma vizinha nossa, a Dona Maria, reclama que o mau cheiro de esgoto invade os apartamentos do térreo. Cadê as obras de saneamento e escoamento prometidas pela prefeitura?",asfalto
25,"Não dá mais pra aguentar a falta de segurança. ontem de noite, meu marido voltando do trabalho foi abordado por dois caras de moto bem na calçada da Rua Artur Araripe,. Levaram o celular e a carteira, deixando todo mundo assustado. A polícia sumiu da região, ficamos desprotegidos. É uma revolta ver o bairro abandonado assim, parece que a prefeitura esqueceu da gente. E pra piorar tudo, as calçadas tão todas quebradas, um perigo de queda pros idosos.",asfalto
26,"A iluminação pública tá uma vergonha nessa área residencial. perto do Planetário da Gávea, tá com várias lâmpadas queimadas nos postes há semanas, deixando a rua num breu completo. meu filho adolescente tem medo de voltar do trabalho de noite. É um perigo danado, a Rioluz precisa fazer a manutenção urgente.",asfalto
27,"Um absurdo completo o atendimento de saúde pública na nossa zona. na última terça-feira, minha mãe idosa passou muito mal com febre alta e ficamos horas esperando atendimento médico no posto da Gávea. Os profissionais trabalham sobrecarregados e faltam insumos básicos. A prefeitura precisa investir sério.",asfalto
28,"Minha reclamação é sobre a dificuldade de conseguir atendimento de emergência na área. esses dias atrás precisamos de socorro urgente pra uma senhora de idade que mora aqui perto, mas a ambulância demorou horas pra chegar aqui no cruzamento principal perto do posto de combustível,. O posto de saúde vive superlotado e sem médicos suficientes pra a demanda absurda. E a iluminação dos postes sumiu nessa parte, virando um breu danado propício pra assaltos.",asfalto
29,"Conseguir vaga na creche pública aqui na região é quase impossível, uma fila de espera eterna no sistema. Estou com um rapaz que estuda na PUC sem estudar porque nunca tem vaga disponível nas creches perto de na Rua Marquês de São Vicente, bem perto da PUC,. As mães trabalhadoras precisam desse suporte urgente pra poder trabalhar em paz.",asfalto
30,"A fiação elétrica aqui tá um perigo absurdo, um emaranhado de fios soltos e baixos passando na cabeça da gente. perto da associação de moradores,, os cabos tão quase tocando o chão das vielas. um morador antigo aqui do beco tem medo de um curto-circuito ou incêndio grave. A Light e a prefeitura precisam ordenar esse caos.",comunidade
31,"Muitos prédios antigos no asfalto tão sofrendo com a falta de manutenção externa e fiação velha, e a prefeitura não ajuda com nenhum tipo de incentivo. minha irmã com o carrinho de bebê comenta que morar na Gávea virou sinônimo de pagar IPTU absurdo pra não ter nenhum apoio habitacional ou urbanístico. Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",asfalto
32,"A falta de segurança viária e policiamento no entorno das escolas preocupa muito. no trecho mais alto e escuro da via,, o trânsito é caótico na hora da saída dos alunos e os carros não respeitam a faixa. eu mesmo com pressa pro serviço reclama que falta sinalização adequada e presença da guarda municipal pra proteger as crianças.",alto da gávea
33,"A situação da segurança aqui dentro tá muito complicada e tensa. logo cedo na segunda-feira teve operação e correria bem nas proximidades do posto de saúde da Gávea,, deixando os morador apavorados dentro de casa. um grupo de estudantes daqui ficou preso sem conseguir descer pro trabalho. Falta uma política de segurança que respeite quem mora aqui na favela.",comunidade
34,"Nossas praças aqui no bairro tão precisando de manutenção urgente da prefeitura. A Praça Santos Dumont vive largada, cheia de sujeira acumulada de noite e bancos quebrados onde os idosos costumavam sentar. minha filha mais nova lamenta ver um espaço público tão tradicional ficar tão degradado. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",asfalto
35,"As vans e ônibus que circulam pelo bairro andam em velocidade absurda e perigosa. meu vizinho da frente, o Seu Jorge, pegou uma condução dessas durante o temporal de ontem perto de na curva perigosa perto da descida pra o São Conrado, e ficou apavorado com a imprudência. Precisamos de fiscalização rigorosa da guarda municipal e mais linhas de ônibus regulares.",alto da gávea
36,"A gente vive com medo de sair de casa à noite. Aqui perto de na Rua Marquês de São Vicente, bem perto da PUC,, os assaltos são constantes e violentos. no meio da semana passada teve correria perto do ponto de ônibus. É um trauma pro uma vizinha nossa, a Dona Maria, e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram?",asfalto
37,"O custo de moradia na Gávea virou uma loucura completa e inacessível. Os aluguéis tão num valor abusivo por causa da especulação imobiliária. meu marido voltando do trabalho mora aqui há mais de dez anos perto de nos arredores da Praça Santos Dumont, no Baixo Gávea, e agora tá sendo obrigado a se mudar porque não aguenta mais pagar tão caro por um espaço pequeno. A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",asfalto
38,"Aqui nas vielas a segurança pública é quase nenhuma, só lembram da gente pra fazer operação violenta. na Travessa do Sol, área residencial, tá perigoso de andar de noite por falta de luz nos postes. meu filho adolescente já ouviu relato de assalto nos becos escuros. Queremos paz e policiamento comunitário de verdade.",comunidade
39,"Morar perto do valão é um sofrimento sem fim que ninguém merece. perto do valão de esgoto principal,, o cheiro é de morte o dia todo e quando chove a água podre invade os becos e entra nas casas. minha mãe idosa perdeu os móveis na última enchente. Precisamos de saneamento básico, saneamento é dignidade humana!",favela
40,"Morar aqui tá difícil por causa dos problemas crônicos de drenagem pluvial. perto do Planetário da Gávea,, a água fica empossada por dias após qualquer temporal comum. uma senhora de idade que mora aqui perto reclama que o mau cheiro de esgoto invade os apartamentos do térreo. Cadê as obras de saneamento e escoamento prometidas pela prefeitura? É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",asfalto
41,"A situação da segurança aqui dentro tá muito complicada e tensa. anteontem teve operação e correria bem na subida da passarela de acesso,, deixando os moradores apavorados dentro de casa. um rapaz que estuda na PUC ficou preso sem conseguir descer pro trabalho. Falta uma política de segurança que respeite quem mora aqui na favela.",favela
42,"Aqui nas vielas a segurança pública é quase nenhuma, só lembram da gente pra fazer operação violenta. perto do ponto final das vans lá em cima, tá perigoso de andar de noite por falta de luz nos postes. um morador antigo aqui do beco já ouviu relato de assalto nos becos escuros. Queremos paz e policiamento comunitário de verdade.",favela
43,"Um absurdo a truculência nas abordagens policiais aqui na comunidade. em plena luz do dia ontem, minha irmã com o carrinho de bebê foi parado voltando do serviço bem na escadaria principal da comunidade, e os policiais já chegaram esculachando, tratando como suspeito. A gente quer segurança, mas quer respeito também, porque trabalhador não é bandido. Até a escola da garotada fica prejudicada com essa buraqueira toda que impede o acesso.",comunidade
44,"A quadra de esportes da favela tá abandonada há anos, sem iluminação, com o piso todo rachado e a tela de proteção rasgada. já faz uns três dias um jovem se machucou jogando bola perto de no Beco do Rato, na parte mais alta,. eu mesmo com pressa pro serviço pede socorro pra secretaria de esportes reformar o local pros nossos jovens saírem da rua.",favela
45,"Não dá mais pra aguentar a falta de segurança. logo cedo na segunda-feira, um grupo de estudantes daqui foi abordado por dois caras de moto bem em frente ao Shopping da Gávea,. Levaram o celular e a carteira, deixando todo mundo assustado. A polícia sumiu da região, ficamos desprotegidos. É uma revolta ver o bairro abandonado assim, parece que a prefeitura esqueceu da gente.",asfalto
46,"Falta de vaga em creche municipal aqui dentro da comunidade é um absurdo que prejudica as mães. minha filha mais nova tá desempregada porque não tem com quem deixar o bebê, já que a creche perto de próximo ao pequeno comércio da subida, tá superlotada e sem previsão de novas vagas. A prefeitura precisa expandir a rede. Nem o Parque da Cidade escapa desse abandono generalizado que tomou conta do nosso bairro.",comunidade
47,"Nossos jovens tão sem perspectiva porque as escolas públicas da comunidade tão abandonadas. Falta professor de matemática e inglês direto. durante o temporal de ontem o filho de meu vizinho da frente, o Seu Jorge, ficou sem aula e voltou pra casa cedo. Sem educação de qualidade, como que as crianças da favela vão vencer na vida?",favela
48,"A Defesa Civil veio aqui no meio da semana passada, interditou algumas casas rachadas perto de na subida da passarela de acesso, por risco iminente de desabamento, mas não dão nenhuma solução real ou auxílio. O aluguel social é uma miséria. uma vizinha nossa, a Dona Maria, tá desesperado sem saber pra onde levar a família e os filhos.",favela
49,"O esgoto correndo a céu aberto aqui na comunidade é uma humilhação diária. ontem de noite o cano estourou bem no beco que dá acesso à quadra de esporte, e tá aquela lama podre passando na porta de casa. meu marido voltando do trabalho tá limpando tudo sozinho porque a prefeitura não manda ninguém da Cedae ou da Comlurb. Rato e barata tomando conta de tudo. E pra piorar tudo, as calçadas tão todas quebradas, um perigo de queda pros idosos.",comunidade
50,"A fiação elétrica aqui tá um perigo absurdo, um emaranhado de fios soltos e baixos passando na cabeça da gente. nas vielas apertadas perto do CIEP,, os cabos tão quase tocando o chão das vielas. meu filho adolescente tem medo de um curto-circuito ou incêndio grave. A Light e a prefeitura precisam ordenar esse caos.",favela
51,"Olha, a situação da segurança tá caótica na Gávea. nos arredores da Praça Santos Dumont, no Baixo Gávea, virou ponto fixo de bandido assaltando quem sai do trabalho ou da faculdade. na última terça-feira teve mais um roubo de celular violento. minha mãe idosa tentou acionar os policiais mas a viatura demorou uma eternidade pra chegar.",asfalto
52,"Falta planejamento e manutenção da infraestrutura urbana na Gávea. No entorno de na Rua Engenheiro Álvaro Niemeyer,, as calçadas são estreitas, quebradas e cheias de obstáculos, fora a fiação aérea pesada que parece que vai cair. uma senhora de idade que mora aqui perto que anda por aqui todo dia vê o completo abandono do asfalto. E a iluminação dos postes sumiu nessa parte, virando um breu danado propício pra assaltos.",alto da gávea
53,"Ir no posto de saúde da Gávea é passar nervoso. Fui levar um rapaz que estuda na PUC anteontem e o atendimento tava parado por falta de médico. A gente que mora no morro tem que descer de madrugada, pegar chuva na fila pra ouvir que não tem vaga. Saúde pública aqui tá largada às traças.",favela
54,"As vans que sobem o morro cobram caro e andam correndo igual loucas pelas subidas estreitas, um perigo. um morador antigo aqui do beco quase sofreu um acidente no último sábado de madrugada perto de na localidade conhecida como Grota, porque o motorista tava disputando passageiro com outra van. Falta fiscalização pesada do transporte alternativo aqui dentro.",favela
55,"Um absurdo completo o atendimento de saúde pública na nossa zona. em plena luz do dia ontem, minha irmã com o carrinho de bebê passou muito mal com febre alta e ficamos horas esperando atendimento médico no posto da Gávea. Os profissionais trabalham sobrecarregados e faltam insumos básicos. A prefeitura precisa investir sério. Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",asfalto
56,"A gente vive com medo de sair de casa à noite. Aqui perto de no cruzamento principal perto do posto de combustível,, os assaltos são constantes e violentos. já faz uns três dias teve correria perto do ponto de ônibus. É um trauma pro eu mesmo com pressa pro serviço e pra todo mundo que mora aqui no asfalto. Cadê o Segurança Presente que tanto prometeram?",asfalto
57,"A situação do CIEP aqui da comunidade tá de dar pena. Prédio precisando de reforma urgente, salas quentes demais e falta de manutenção nos banheiros. um grupo de estudantes daqui estuda lá e conta que faltam livros didáticos básicos. logo cedo na segunda-feira cancelaram a aula mais cedo por falta de água no colégio perto de na escadaria principal da comunidade,.",comunidade
58,"Aqui nas vielas a segurança pública é quase nenhuma, só lembram da gente pra fazer operação violenta. perto da associação de moradores, tá perigoso de andar de noite por falta de luz nos postes. minha filha mais nova já ouviu relato de assalto nos becos escuros. Queremos paz e policiamento comunitário de verdade. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",comunidade
59,"Falta iluminação nos becos mais internos da comunidade. Caminhar por aqui de noite é um desafio de sobrevivência porque tá tudo no escuro completo. na Viela da Paz, subindo as escadas,, os moradores vivem com medo de assalto e queda. meu vizinho da frente, o Seu Jorge, comprou lâmpada do próprio bolso pra colocar no beco.",favela
60,"Morar aqui tá difícil por causa dos problemas crônicos de drenagem pluvial. na calçada da Rua Artur Araripe,, a água fica empossada por dias após qualquer temporal comum. uma vizinha nossa, a Dona Maria, reclama que o mau cheiro de esgoto invade os apartamentos do térreo. Cadê as obras de saneamento e escoamento prometidas pela prefeitura?",asfalto
61,"As calçadas aqui da Gávea tão completamente detonadas, cheias de buracos e pedras soltas. ontem de noite, meu marido voltando do trabalho tropeçou e quase caiu feio bem perto do Planetário da Gávea,. As raízes das árvores estouraram o concreto e ninguém conserta. Idosos sofrem demais pra caminhar por aqui, cadê a conservação? A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",asfalto
62,"Na comunidade a gente sofre quando alguém passa mal. na semana passada, meu filho adolescente teve uma crise forte e a ambulância do Samu se recusou a subir na subida da passarela de acesso, alegando falta de segurança. Tivemos que carregar ele no braço até o asfalto. O posto de saúde também nunca tem remédio básico.",favela
63,"As vans e ônibus que circulam pelo bairro andam em velocidade absurda e perigosa. minha mãe idosa pegou uma condução dessas na última terça-feira perto de no cruzamento principal perto do posto de combustível, e ficou apavorado com a imprudência. Precisamos de fiscalização rigorosa da guarda municipal e mais linhas de ônibus regulares.",asfalto
64,"Falta planejamento e manutenção da infraestrutura urbana na Gávea. No entorno de na Rua Marquês de São Vicente, bem perto da PUC,, as calçadas são estreitas, quebradas e cheias de obstáculos, fora a fiação aérea pesada que parece que vai cair. uma senhora de idade que mora aqui perto que anda por aqui todo dia vê o completo abandono do asfalto. É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",asfalto
65,"As calçadas aqui da Gávea tão completamente detonadas, cheias de buracos e pedras soltas. anteontem, um rapaz que estuda na PUC tropeçou e quase caiu feio bem nos arredores da Praça Santos Dumont, no Baixo Gávea,. As raízes das árvores estouraram o concreto e ninguém conserta. Idosos sofrem demais pra caminhar por aqui, cadê a conservação?",asfalto
66,"A insegurança aqui tá um absurdo total. Ninguém consegue mais andar tranquilo na Rua Engenheiro Álvaro Niemeyer, depois das sete da noite porque o policiamento preventivo sumiu. um morador antigo aqui do beco já cansou de ver assalto perto dos prédios. Precisamos de patrulhamento urgente e iluminação de verdade pra afastar esses criminosos.",alto da gávea
67,"Morar perto do valão é um sofrimento sem fim que ninguém merece. perto do valão de esgoto principal,, o cheiro é de morte o dia todo e quando chove a água podre invade os becos e entra nas casas. minha irmã com o carrinho de bebê perdeu os móveis na última enchente. Precisamos de saneamento básico, saneamento é dignidade humana! Até a escola da garotada fica prejudicada com essa buraqueira toda que impede o acesso.",favela
68,"A infraestrutura básica passou longe das vielas daqui da favela. na localidade conhecida como Grota,, o acesso é péssimo, sem pavimentação adequada, cheio de valas e lodo acumulado que faz as pessoas escorregarem. eu mesmo com pressa pro serviço idoso tem muita dificuldade de sair de casa. Falta pavimentação e acessibilidade.",favela
69,"A situação da segurança aqui dentro tá muito complicada e tensa. logo cedo na segunda-feira teve operação e correria bem na subida da passarela de acesso,, deixando os moradores apavorados dentro de casa. um grupo de estudantes daqui ficou preso sem conseguir descer pro trabalho. Falta uma política de segurança que respeite quem mora aqui na favela.",favela
70,"Aqui nas vielas a segurança pública é quase nenhuma, só lembram da gente pra fazer operação violenta. perto do ponto final das vans lá em cima, tá perigoso de andar de noite por falta de luz nos postes. minha filha mais nova já ouviu relato de assalto nos becos escuros. Queremos paz e policiamento comunitário de verdade. Nem o Parque da Cidade escapa desse abandono generalizado que tomou conta do nosso bairro.",favela
71,"Morar perto do valão é um sofrimento sem fim que ninguém merece. nas vielas apertadas perto do CIEP,, o cheiro é de morte o dia todo e quando chove a água podre invade os becos e entra nas casas. meu vizinho da frente, o Seu Jorge, perdeu os móveis na última enchente. Precisamos de saneamento básico, saneamento é dignidade humana!",favela
72,"A Defesa Civil veio aqui no meio da semana passada, interditou algumas casas rachadas perto de no Beco do Rato, na parte mais alta, por risco iminente de desabamento, mas não dão nenhuma solução real ou auxílio. O aluguel social é uma miséria. uma vizinha nossa, a Dona Maria, tá desesperado sem saber pra onde levar a família e os filhos.",favela
73,"O Parque da Cidade, que deveria ser um espaço de lazer maravilhoso na Gávea, tá abandonado pelo poder público. Mato altíssimo, brinquedos do parquinho enferrujados e quebrados, e lixo espalhado. meu marido voltando do trabalho foi lá com a família ontem de noite e ficou indignado com o descaso total com a nossa área verde. E pra piorar tudo, as calçadas tão todas quebradas, um perigo de queda pros idosos.",asfalto
74,"A fiação elétrica aqui tá um perigo absurdo, um emaranhado de fios soltos e baixos passando na cabeça da gente. perto do valão de esgoto principal,, os cabos tão quase tocando o chão das vielas. meu filho adolescente tem medo de um curto-circuito ou incêndio grave. A Light e a prefeitura precisam ordenar esse caos.",favela
75,"Falta de professores nas escolas da rede pública daqui é um problema crônico. O filho de minha mãe idosa tá há semanas sem ter aula de matérias básicas porque não tem professor contratado pra substituir perto de perto do Planetário da Gávea,. Um absurdo ver o ano letivo passando e os alunos prejudicados.",asfalto
76,"A falta de segurança viária e policiamento no entorno das escolas preocupa muito. nas imediações das mansões residenciais,, o trânsito é caótico na hora da saída dos alunos e os carros não respeitam a faixa. uma senhora de idade que mora aqui perto reclama que falta sinalização adequada e presença da guarda municipal pra proteger as crianças. E a iluminação dos postes sumiu nessa parte, virando um breu danado propício pra assaltos.",alto da gávea
77,"Depender de transporte aqui na comunidade é um teste de paciência. Os ônibus sumiram das linhas e demoram séculos. anteontem, um rapaz que estuda na PUC esperou quase uma hora no ponto perto de no beco que dá acesso à quadra de esporte, pra conseguir descer pro trabalho. A prefeitura precisa obrigar as empresas a cumprirem os horários.",comunidade
78,"A insegurança aqui tá um abssurdo total. Ninguém consegue mais andar tranquilo na subida da Estrada da Gávea, depois das sete da noite porque o policiamento preventivo sumiu. um morador antigo aqui do beco já cansou de ver assalto perto dos prédios. Precisamos de patrulhamento urgente e iluminação de verdade pra afastar esses criminosos.",alto da gávea
79,"O posto de saúde tá sempre lotado e faltam especialistas como pediatra e ginecologista. minha irmã com o carrinho de bebê tá tentando marcar uma consulta há mais de quatro meses e nada. em plena luz do dia ontem disseram que o sistema do Sisreg caiu. É uma falta de respeito enorme com quem mora na comunidade. Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",favela
80,"Falta planejamento e manutenção da infraestrutura urbana na Gávea. No entorno de na Rua Engenheiro Álvaro Niemeyer,, as calçadas são estreitas, quebradas e cheias de obstáculos, fora a fiação aérea pesada que parece que vai cair. eu mesmo com pressa pro serviço que anda por aqui todo dia vê o completo abandono do asfalto.",alto da gávea
81,"O esgoto correndo a céu aberto aqui na comunidade é uma humilhação diária. logo cedo na segunda-feira o cano estourou bem próximo ao pequeno comércio da subida, e tá aquela lama podre passando na porta de casa. um grupo de estudantes daqui tá limpando tudo sozinho porque a prefeitura não manda ninguém da Cedae ou da Comlurb. Rato e barata tomando conta de tudo.",comunidade
82,"A insegurança aqui tá um absurdo total. Ninguém consegue mais andar tranquilo perto do Planetário da Gávea, depois das sete da noite porque o policiamento preventivo sumiu. minha filha mais nova já cansou de ver assalto perto dos prédios. Precisamos de patrulhamento urgente e iluminação de verdade pra afastar esses criminosos. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",asfalto
83,"Morar perto do valão é um sofrimento sem fim que ninguém merece. na subida da passarela de acesso,, o cheiro é de morte o dia todo e quando chove a água podre invade os becos e entra nas casas. meu vizinho da frente, o Seu Jorge, perdeu os móveis na última enchente. Precisamos de saneamento básico, saneamento é dignidade humana!",favela
84,"A gente vive no meio do fogo cruzado e ninguém faz nada por nós. no meio da semana passada teve tiroteio perto do CIEP e uma vizinha nossa, a Dona Maria, teve que correr pra se proteger dentro do beco. As crianças ficam traumatizadas e perdem aula direta. Segurança pra nós da comunidade é artigo de luxo pelo visto.",comunidade
85,"A situação da segurança aqui dentro tá mto complicada e tensa. ontem de noite teve operação e correria bem nas vielas apertadas perto do CIEP,, deixando os moradores apavorados dentro de casa. meu marido voltando do trabalho ficou preso sem conseguir descer pro trabalho. Falta uma política de segurança que respeite quem mora aqui na favela. A prefeitura diz na televisão que faz obra mas a verdade é que o descaso continua igual por aqui.",favela
86,"Muitas famílias aqui na comunidade vivem em condições habitacionais muito precárias, em barracos com muita umidade e infiltração perigosa. meu filho adolescente mora num cômodo pequeno onde chove mais dentro do que fora perto de perto da associação de moradores,. Precisamos de programas sociais de melhoria habitacional.",comunidade
87,"Olha, a situação da segurança tá caótica na Gávea. na Rua Engenheiro Álvaro Niemeyer, virou ponto fixo de bandido assaltando quem sai do trabalho ou da faculdade. na última terça-feira teve mais um roubo de celular violento. minha mãe idosa tentou acionar os policiais mas a viatura demorou uma eternidade pra chegar.",alto da gávea
88,"Falta saneamento básico e vergonha na cara das autoridades. perto do valão de esgoto principal, tá cheio de esgoto vazando direto e as criança brincam do lado da sujeira. uma senhora de idade que mora aqui perto tá com o filho internado no posto com infecção por causa disso. É desumano viver desse jeito sem rede de esgoto adequada nas viela. É uma falta de respeito tremenda com quem paga imposto caro todo mês e não vê retorno.",favela
